si10,t2m,latitude,longitude,expver
2.62346,289.20468,47.89916957398508,-1.0905659384891342,prod
2.8713531,288.65833,47.89916957398508,-1.0905659384891342,prod
4.154931,293.97375,47.89916957398508,-1.0905659384891342,prod
4.594299,294.77222,47.89916957398508,-1.0905659384891342,prod
1.9790066,287.41473,47.89916957398508,-1.0905659384891342,prod
1.3233552,287.00415,47.89916957398508,-1.0905659384891342,prod
2.3291345,293.38443,47.89916957398508,-1.0905659384891342,prod
3.40146,294.4178,47.89916957398508,-1.0905659384891342,prod
1.7865995,286.37384,47.89916957398508,-1.0905659384891342,prod
0.9557704,286.01495,47.89916957398508,-1.0905659384891342,prod
3.9634373,292.63913,47.89916957398508,-1.0905659384891342,prod
2.841856,294.25867,47.89916957398508,-1.0905659384891342,prod
2.6288402,288.818,47.89916957398508,-1.0905659384891342,prod
3.2715638,288.08572,47.89916957398508,-1.0905659384891342,prod
5.607727,292.07184,47.89916957398508,-1.0905659384891342,prod
7.514535,292.48373,47.89916957398508,-1.0905659384891342,prod
4.7487497,286.52768,47.89916957398508,-1.0905659384891342,prod
4.0220428,287.97992,47.89916957398508,-1.0905659384891342,prod
5.6388426,295.50937,47.89916957398508,-1.0905659384891342,prod
5.052204,294.86084,47.89916957398508,-1.0905659384891342,prod
1.4764363,287.4225,47.89916957398508,-1.0905659384891342,prod
1.7339952,287.07254,47.89916957398508,-1.0905659384891342,prod
3.4309666,297.142,47.89916957398508,-1.0905659384891342,prod
6.0084615,298.5953,47.89916957398508,-1.0905659384891342,prod
5.1154113,291.54382,47.89916957398508,-1.0905659384891342,prod
3.4173481,289.65475,47.89916957398508,-1.0905659384891342,prod
6.7173223,290.13333,47.89916957398508,-1.0905659384891342,prod
6.692731,289.49707,47.89916957398508,-1.0905659384891342,prod
2.6259034,284.226,47.89916957398508,-1.0905659384891342,prod
3.0705326,285.36487,47.89916957398508,-1.0905659384891342,prod
4.849772,290.18546,47.89916957398508,-1.0905659384891342,prod
5.316463,290.00705,47.89916957398508,-1.0905659384891342,prod
2.522785,286.5415,47.89916957398508,-1.0905659384891342,prod
6.78633,286.51288,47.89916957398508,-1.0905659384891342,prod
9.353378,291.14166,47.89916957398508,-1.0905659384891342,prod
6.863807,288.62292,47.89916957398508,-1.0905659384891342,prod
6.3847766,286.46957,47.89916957398508,-1.0905659384891342,prod
5.8654933,285.19135,47.89916957398508,-1.0905659384891342,prod
6.45416,289.40067,47.89916957398508,-1.0905659384891342,prod
7.798736,288.66602,47.89916957398508,-1.0905659384891342,prod
5.8383226,285.45227,47.89916957398508,-1.0905659384891342,prod
5.5327005,285.62195,47.89916957398508,-1.0905659384891342,prod
9.100184,290.20502,47.89916957398508,-1.0905659384891342,prod
8.154937,287.4006,47.89916957398508,-1.0905659384891342,prod
2.9126163,281.57263,47.89916957398508,-1.0905659384891342,prod
2.8541706,282.93362,47.89916957398508,-1.0905659384891342,prod
4.179186,292.9934,47.89916957398508,-1.0905659384891342,prod
6.918586,289.59976,47.89916957398508,-1.0905659384891342,prod
5.488605,287.13217,47.89916957398508,-1.0905659384891342,prod
5.1880608,286.48932,47.89916957398508,-1.0905659384891342,prod
7.0495186,290.92422,47.89916957398508,-1.0905659384891342,prod
7.1137695,293.06537,47.89916957398508,-1.0905659384891342,prod
5.7018433,288.50824,47.89916957398508,-1.0905659384891342,prod
4.817808,287.26422,47.89916957398508,-1.0905659384891342,prod
8.393707,291.6576,47.89916957398508,-1.0905659384891342,prod
6.8085694,289.76868,47.89916957398508,-1.0905659384891342,prod
4.013949,285.65228,47.89916957398508,-1.0905659384891342,prod
2.609862,285.87085,47.89916957398508,-1.0905659384891342,prod
3.8928459,291.13474,47.89916957398508,-1.0905659384891342,prod
6.001943,291.5025,47.89916957398508,-1.0905659384891342,prod
2.0556133,283.60205,47.89916957398508,-1.0905659384891342,prod
1.2558563,283.5701,47.89916957398508,-1.0905659384891342,prod
2.6461923,290.9694,47.89916957398508,-1.0905659384891342,prod
2.706013,292.1158,47.89916957398508,-1.0905659384891342,prod
